1024	8	128	0.0299709
1024	16	64	0.0290953
1024	32	32	0.0302963
1024	64	16	0.0291385
1024	128	8	0.0299872
1024	256	4	0.0145801
1024	512	2	0.0146488
2048	8	256	0.05881
2048	16	128	0.0578995
2048	32	64	0.0604559
2048	64	32	0.0569607
2048	128	16	0.053209
2048	256	8	0.0579911
2048	512	4	0.0599026
4096	8	512	0.0590564
4096	16	256	0.123333
4096	32	128	0.116166
4096	64	64	0.120972
4096	128	32	0.0575164
4096	256	16	0.0583249
4096	512	8	0.117269
8192	8	1024	0.112126
8192	16	512	0.238519
8192	32	256	0.23754
8192	64	128	0.116246
8192	128	64	0.232197
8192	256	32	0.239336
8192	512	16	0.240488
16384	8	2048	0.476237
16384	16	1024	0.46305
16384	32	512	0.23296
16384	64	256	0.480346
16384	128	128	0.479874
16384	256	64	0.443732
16384	512	32	0.198428
32768	8	4096	0.455614
32768	16	2048	0.919036
32768	32	1024	0.936801
32768	64	512	0.932629
32768	128	256	0.946987
32768	256	128	0.967667
32768	512	64	0.904762
65536	8	8192	1.91251
65536	16	4096	0.927613
65536	32	2048	1.87022
65536	64	1024	1.91971
65536	128	512	1.91064
65536	256	256	1.88061
65536	512	128	0.924032
131072	8	16384	3.78408
131072	16	8192	2.36351
131072	32	4096	3.7242
131072	64	2048	2.74899
131072	128	1024	3.87067
131072	256	512	3.88692
131072	512	256	3.86069
262144	8	32768	1.0397
262144	16	16384	0.94113
262144	32	8192	1.49066
262144	64	4096	1.5012
262144	128	2048	1.47747
262144	256	1024	1.45989
262144	512	512	1.19362
524288	8	65536	2.7177
524288	16	32768	2.7624
524288	32	16384	2.73224
524288	64	8192	2.75632
524288	128	4096	1.94436
524288	256	2048	2.22684
524288	512	1024	2.96442
1048576	8	131072	4.13129
1048576	16	65536	5.61277
1048576	32	32768	5.71071
1048576	64	16384	5.62792
1048576	128	8192	5.3228
1048576	256	4096	3.98984
1048576	512	2048	3.92127
2097152	8	262144	10.5679
2097152	16	131072	9.68191
2097152	32	65536	7.1273
2097152	64	32768	10.8939
2097152	128	16384	10.8088
2097152	256	8192	10.9621
2097152	512	4096	10.7882
4194304	8	524288	13.7916
4194304	16	262144	12.1143
4194304	32	131072	15.8852
4194304	64	65536	15.0494
4194304	128	32768	16.5574
4194304	256	16384	16.7891
4194304	512	8192	14.9133
8388608	8	1048576	27.9647
8388608	16	524288	27.4854
8388608	32	262144	24.3155
8388608	64	131072	26.8743
8388608	128	65536	27.7519
8388608	256	32768	28.4169
8388608	512	16384	27.2613
