2048	128	16	0.000507293
1024	8	128	0.0284966
1024	16	64	0.0302762
1024	32	32	0.0147372
1024	64	16	0.0290922
1024	128	8	0.0158044
1024	256	4	0.0299741
1024	512	2	0.0286719
2048	8	256	0.0595006
2048	16	128	0.0330452
2048	32	64	0.0248978
2048	64	32	0.0588352
2048	128	16	0.0583977
2048	256	8	0.0594395
2048	512	4	0.0574187
4096	8	512	0.119169
4096	16	256	0.122283
4096	32	128	0.114312
4096	64	64	0.0572409
4096	128	32	0.117281
4096	256	16	0.117256
4096	512	8	0.120839
8192	8	1024	0.239063
8192	16	512	0.114072
8192	32	256	0.240239
8192	64	128	0.233665
8192	128	64	0.232972
8192	256	32	0.240646
8192	512	16	0.115805
16384	8	2048	0.231696
16384	16	1024	0.233752
16384	32	512	0.467653
16384	64	256	0.473647
16384	128	128	0.233665
16384	256	64	0.23082
16384	512	32	0.452963
32768	8	4096	0.904297
32768	16	2048	0.427826
32768	32	1024	0.945156
32768	64	512	0.452765
32768	128	256	0.882787
32768	256	128	0.607234
32768	512	64	0.72369
65536	8	8192	0.783896
65536	16	4096	1.65449
65536	32	2048	1.97743
65536	64	1024	1.8754
65536	128	512	1.91667
65536	256	256	1.85122
65536	512	128	0.866546
131072	8	16384	3.67826
131072	16	8192	3.87195
131072	32	4096	1.78442
131072	64	2048	3.78123
131072	128	1024	3.82418
131072	256	512	3.33849
131072	512	256	3.7562
262144	8	32768	1.40423
262144	16	16384	0.696689
262144	32	8192	0.796306
262144	64	4096	1.33288
262144	128	2048	1.36941
262144	256	1024	1.33655
262144	512	512	1.32606
524288	8	65536	2.31552
524288	16	32768	1.73423
524288	32	16384	2.63189
524288	64	8192	1.90687
524288	128	4096	2.36188
524288	256	2048	2.3961
524288	512	1024	2.34756
1048576	8	131072	4.88003
1048576	16	65536	5.43194
1048576	32	32768	5.50223
1048576	64	16384	5.35592
1048576	128	8192	5.32718
1048576	256	4096	5.56027
1048576	512	2048	4.46959
2097152	8	262144	9.02098
2097152	16	131072	6.63195
2097152	32	65536	8.84905
2097152	64	32768	9.95156
2097152	128	16384	9.65683
2097152	256	8192	9.55253
2097152	512	4096	10.8745
4194304	8	524288	16.4147
4194304	16	262144	15.2991
4194304	32	131072	17.503
4194304	64	65536	16.0752
4194304	128	32768	17.0868
4194304	256	16384	16.3068
4194304	512	8192	13.907
8388608	8	1048576	28.9842
8388608	16	524288	28.5838
8388608	32	262144	27.8406
8388608	64	131072	28.2262
8388608	128	65536	28.3201
8388608	256	32768	28.6226
8388608	512	16384	25.9464
