1	24.6994	7.97281	1.0388	1	0
2	29.8758	10.6625	3.39662	2	0
3	38.8416	12.2155	9.91191	3	0
4	49.1943	12.2155	11.6826	4	1
5	58.1601	10.6625	9.777	5	2
6	63.3365	7.97282	6.91012	6	3
7	63.3365	4.86699	3.33664	7	4
8	58.1601	2.17726	0	6	3
9	49.1943	0.624346	0	5	2
10	38.8416	0.624346	0.377211	4	1
11	29.8758	2.17726	0	3	0
12	24.6994	4.86699	0	2	0
13	24.6994	7.97281	0	1	0
14	29.8758	10.6625	2.35782	0	0
15	38.8416	12.2155	9.87311	1	0
16	49.1943	12.2155	12.6438	2	1
17	58.1601	10.6625	11.7382	3	2
18	63.3365	7.97282	9.87132	4	3
19	63.3365	4.86699	7.29784	5	4
20	58.1601	2.17726	4.15819	6	5
21	49.1943	0.624346	1.58445	5	4
22	38.8416	0.624346	1.56166	4	3
23	29.8758	2.17726	0.518253	3	2
24	24.6994	4.86699	0	2	1
25	24.6994	7.97281	0	1	0
26	29.8758	10.6625	2.35782	0	0
27	38.8416	12.2155	9.87311	1	0
28	49.1943	12.2155	12.6438	2	1
29	58.1601	10.6625	11.7382	3	2
30	63.3365	7.97282	9.87132	4	3
31	63.3365	4.86699	7.29784	5	4
32	58.1601	2.17726	4.15819	6	5
33	49.1943	0.624346	1.58445	5	4
34	38.8416	0.624346	1.56166	4	3
35	29.8758	2.17726	0.518253	3	2
36	24.6994	4.86699	0	2	1
37	24.6994	7.97281	0	1	0
38	29.8758	10.6625	2.35782	0	0
39	38.8416	12.2155	9.87311	1	0
40	49.1943	12.2155	12.6438	2	1
41	58.1601	10.6625	11.7382	3	2
42	63.3365	7.97282	9.87132	4	3
43	63.3365	4.86699	7.29784	5	4
44	58.1601	2.17726	4.15819	6	5
45	49.1943	0.624346	1.58445	5	4
46	38.8416	0.624346	1.56166	4	3
47	29.8758	2.17726	0.518253	3	2
48	24.6994	4.86699	0	2	1
49	24.6994	7.97281	0	1	0
50	29.8758	10.6625	2.35782	0	0
51	38.8416	12.2155	9.87311	1	0
52	49.1943	12.2155	12.6438	2	1
53	58.1601	10.6625	11.7382	3	2
54	63.3365	7.97282	9.87132	4	3
55	63.3365	4.86699	7.29784	5	4
56	58.1601	2.17726	4.15819	6	5
57	49.1943	0.624346	1.58445	5	4
58	38.8416	0.624346	1.56166	4	3
59	29.8758	2.17726	0.518253	3	2
60	24.6994	4.86699	0	2	1
61	24.6994	7.97281	0	1	0
62	29.8758	10.6625	2.35782	0	0
63	38.8416	12.2155	9.87311	1	0
64	49.1943	12.2155	12.6438	2	1
65	58.1601	10.6625	11.7382	3	2
66	63.3365	7.97282	9.87132	4	3
67	63.3365	4.86699	7.29784	5	4
68	58.1601	2.17726	4.15819	6	5
69	49.1943	0.624346	1.58445	5	4
70	38.8416	0.624346	1.56166	4	3
71	29.8758	2.17726	0.518253	3	2
72	24.6994	4.86699	0	2	1
